DlyCalDt,Ticker,DlyClose,DlyHigh,DlyLow,DlyOpen,DlyVolume
02/01/2020,AAPL,72.62083435058594,72.68128119000231,71.37321069958021,71.62708447362316,135480400
03/01/2020,AAPL,71.9148178100586,72.67644657227763,71.68995732022762,71.84711763961168,146322800
06/01/2020,AAPL,72.48783874511719,72.52652560345562,70.7832410162985,71.0347019061165,118387200
07/01/2020,AAPL,72.14692687988281,72.753808076937,71.92689951821663,72.49751409054869,108872000
08/01/2020,AAPL,73.30750274658203,73.60973691556963,71.84952541053639,71.84952541053639,132079200
09/01/2020,AAPL,74.86463165283203,75.058058615668,74.0353026659935,74.28675624192712,170108400
10/01/2020,AAPL,75.03388214111328,75.59967116208304,74.53096758540974,75.09916946286842,140644800
13/01/2020,AAPL,76.63692474365234,76.66352519200935,75.23214067732687,75.35062150930146,121532000
14/01/2020,AAPL,75.6020736694336,76.78441745974806,75.47876712733354,76.57406362681236,161954400
15/01/2020,AAPL,75.27809143066406,76.28392794287467,74.84528990021097,75.4014053711113,121923600
16/01/2020,AAPL,76.22106170654297,76.33228922922538,75.45943283140988,75.82211395087957,108829200
17/01/2020,AAPL,77.06488037109375,77.06729322689777,76.16301095015437,76.47007821096346,137816400
21/01/2020,AAPL,76.5426254272461,77.1350000250309,76.40480486276103,76.69253240808335,110843200
22/01/2020,AAPL,76.81585693359375,77.3695447452734,76.72155630946642,77.02862363912672,101832400
23/01/2020,AAPL,77.18577575683594,77.26556233295065,76.32017294133449,76.86903492947071,104472000
24/01/2020,AAPL,76.96334075927734,78.17711075717362,76.77232666197627,77.43240886934917,146537600
27/01/2020,AAPL,74.70021057128906,75.38204534370864,73.71613420898714,74.96859100895418,161940000
28/01/2020,AAPL,76.81343078613281,76.98509775416542,75.48360024038988,75.58273394834251,162234000
29/01/2020,AAPL,78.42131805419922,79.2699941203994,77.70562947444549,78.44791850299463,216229200
30/01/2020,AAPL,78.30767059326172,78.36086410726632,77.06972049871605,77.50252193635508,126743200
31/01/2020,AAPL,74.83562469482422,78.01996079771159,74.54064375527754,77.59683282419269,199588400
03/02/2020,AAPL,74.63008880615234,75.79791852993898,73.07297758859362,73.57589206005755,173788400
04/02/2020,AAPL,77.09390258789062,77.28491667175436,75.83177225101083,76.23797325215806,136616400
05/02/2020,AAPL,77.72254943847656,78.52286500581071,77.11808104147103,78.22304366333603,118826800
06/02/2020,AAPL,78.63166046142578,78.63408069608217,77.4348175300206,77.99334570709586,105425600
07/02/2020,AAPL,77.56285095214844,78.3796069749616,77.07085803475874,78.12997524636046,117684000
10/02/2020,AAPL,77.93123626708984,77.93123626708984,76.06505957583339,76.14503551271558,109348800
11/02/2020,AAPL,77.4610595703125,78.500791189116,77.24293596960018,78.42808578763751,94323200
12/02/2020,AAPL,79.30058288574219,79.30542744679461,77.91185062961374,77.91185062961374,113730400
13/02/2020,AAPL,78.73589324951172,79.06308239609403,78.36750683488538,78.57108938477977,94747600
14/02/2020,AAPL,78.7552719116211,79.00490364230242,78.24631193166864,78.70437073623225,80113600
18/02/2020,AAPL,77.31322479248047,77.49499569716498,76.24925554684746,76.43102645153198,152531200
19/02/2020,AAPL,78.43292236328125,78.66316843831524,77.55557609214306,77.55557609214306,93984000
20/02/2020,AAPL,77.6282958984375,78.68256868592816,77.12176183559734,78.19300168361448,100566000
21/02/2020,AAPL,75.87117767333984,77.66465663516524,75.2531595150605,77.22113145649439,129554000
24/02/2020,AAPL,72.26725769042969,73.72142482703582,70.09812948275813,72.04428953806494,222195200
25/02/2020,AAPL,69.81941223144531,73.3215345796045,69.34681232251152,72.93860713253768,230673600
26/02/2020,AAPL,70.92699432373047,72.1945458948115,69.43647462004233,69.44374515923005,198054800
27/02/2020,AAPL,66.29063415527344,69.31530465753468,66.15491247212168,68.12773623181833,320605600
28/02/2020,AAPL,66.25183868408203,67.47576689739286,62.13412521989558,62.3498301879761,426510000
02/03/2020,AAPL,72.41996002197266,73.05737125328037,67.30856246455294,68.41372910419624,341397200
03/03/2020,AAPL,70.11993408203125,73.67779421161765,69.26681804701707,73.59781828147297,319475600
04/03/2020,AAPL,73.37242889404297,73.53238817702517,71.04334126232827,71.84555625982283,219178400
05/03/2020,AAPL,70.99243927001953,72.59928766176252,70.62647152568951,71.62257241363193,187572800
06/03/2020,AAPL,70.0496826171875,70.48351139268972,68.15926753355247,68.34588306223198,226176800
09/03/2020,AAPL,64.50928497314453,67.3982263851532,63.740996701505956,63.92276760464713,286744800
10/03/2020,AAPL,69.15533447265625,69.42193323548972,65.28482634158217,67.16797734192903,285290000
11/03/2020,AAPL,66.75355529785156,68.15682896396041,65.88832388635639,67.22858865883606,255598800
12/03/2020,AAPL,60.16131591796875,65.43751995097615,60.105573880896614,62.02992228152743,418474000
13/03/2020,AAPL,67.369140625,67.8417479064298,61.30526258468153,64.19905949793468,370732000
16/03/2020,AAPL,58.70230484008789,62.79093319087167,58.1666849886367,58.63928856454173,322423600
17/03/2020,AAPL,61.2834587097168,62.43467081545571,57.778913814310236,59.98682469346223,324056000
18/03/2020,AAPL,59.783241271972656,60.59030457265709,57.46869089766941,58.1109503450228,300233600
19/03/2020,AAPL,59.32516860961914,61.278599104517625,58.79924529931094,59.95773142950838,271857200
20/03/2020,AAPL,55.55889129638672,61.03383075218806,55.25836203120277,59.9068487813525,401693200
23/03/2020,AAPL,54.378578186035156,55.37953106884565,51.52841196651316,55.27773981437753,336752800
24/03/2020,AAPL,59.83413314819336,60.03044512491102,56.785228864020425,57.28449233521307,287531200
25/03/2020,AAPL,59.5045166015625,62.5897733176163,59.208835672807325,60.77206450877943,303602000
26/03/2020,AAPL,62.635833740234375,62.69399806571646,59.70810978448486,59.74688846689872,252087200
27/03/2020,AAPL,60.042564392089844,62.012958412771816,59.875334574134676,61.25679266007546,204216800
30/03/2020,AAPL,61.75605773925781,61.92813582111078,60.44488273934441,60.76964956297266,167976400
31/03/2020,AAPL,61.63002395629883,63.6173849288287,61.075018471181984,61.94752021431129,197002000
01/04/2020,AAPL,58.38724136352539,60.28008186649483,57.95583869541803,59.74203967177421,176218400
02/04/2020,AAPL,59.36152648925781,59.41484624870322,57.41536636391571,58.2490894772747,165934000
03/04/2020,AAPL,58.5084228515625,59.54815085540586,57.91706088463897,58.845304798537626,129880000
06/04/2020,AAPL,63.612552642822266,63.76765998471095,60.44004501427147,60.80843142300017,201820400
07/04/2020,AAPL,62.87577819824219,65.84955551125752,62.771564634380745,65.6314244661616,202887200
08/04/2020,AAPL,64.48503112792969,64.80009765548974,63.312004082729416,63.677964379389906,168895200
09/04/2020,AAPL,64.95037841796875,65.45449387759112,64.15301536095346,65.12246020269797,161834800
13/04/2020,AAPL,66.2251968383789,66.33426233514128,64.42687350884506,65.02793193786948,131022800
14/04/2020,AAPL,69.56978607177734,69.86062249775517,67.38853506577631,67.8611424089209,194994800
15/04/2020,AAPL,68.93479919433594,69.39528402750159,68.01382952800463,68.44280621954762,131154400
16/04/2020,AAPL,69.48253631591797,69.8485041120879,68.43068954557212,69.64976614355342,157125200
17/04/2020,AAPL,68.53974151611328,69.54554637079254,67.1001154570163,68.99780771504257,215250000
20/04/2020,AAPL,67.11708068847656,68.26829630867668,67.09769504818215,67.36429382895744,130015200
21/04/2020,AAPL,65.04247283935547,67.19464143835056,64.32993033303205,66.95955078291355,180991600
22/04/2020,AAPL,66.91592407226562,67.35217124293807,65.97071693829112,66.31243969742793,116862400
23/04/2020,AAPL,66.6566162109375,68.28528415368396,66.61783752226751,66.86019877924598,124814400
24/04/2020,AAPL,68.58096313476562,68.59065965571317,67.13406617796697,67.18254138642631,126161200
27/04/2020,AAPL,68.6294174194336,68.96145104694212,67.84901413734978,68.29737639564895,117087600
28/04/2020,AAPL,67.51697540283203,69.27409398731281,67.42488436575898,69.09232309926307,112004800
29/04/2020,AAPL,69.73457336425781,70.20475456681409,68.80390747568688,69.00748994541098,137280800
30/04/2020,AAPL,71.20571899414062,71.38264533626065,69.8848548660731,70.27505285549175,183064000
01/05/2020,AAPL,70.05935668945312,72.46600172757337,69.27895329807433,69.37589630273538,240616800
04/05/2020,AAPL,71.05062866210938,71.17907983549179,69.3928785127616,70.0836095907262,133568000
05/05/2020,AAPL,72.11698913574219,72.95071215203899,71.36566802967198,71.51108621089136,147751200
06/05/2020,AAPL,72.86103057861328,73.4935896027335,72.43447260612531,72.81982593052183,142333600
07/05/2020,AAPL,73.61479949951172,73.96138168836862,73.18582277419723,73.488774319377,115215200
08/05/2020,AAPL,75.36693572998047,75.4203998179442,73.94771597783995,74.27579072596755,133838400
11/05/2020,AAPL,76.5528793334961,77.04862926819315,74.66463023297625,74.8736289600459,145946400
12/05/2020,AAPL,75.67800903320312,77.6901917346119,75.55650039805452,77.23817575538389,162301200
13/05/2020,AAPL,74.7642593383789,76.78130706727246,73.68526209938001,75.85783701982658,200622400
14/05/2020,AAPL,75.22357940673828,75.28433373358632,73.27700840131105,74.00120264720762,158929200
15/05/2020,AAPL,74.77885437011719,74.82502825231288,72.95622454544424,72.99025052866202,166348400
18/05/2020,AAPL,76.54071807861328,76.91496675486883,75.4131217905622,76.10572250052454,135178400
